from,to,relationship,time,decade,percentage
ae,tf,4,1999,1980,NA
algc,gci,4,1989,1980,NA
almi,gci,4,2015,1990,NA
alsa,giar,2,2009,2000,NA
amc,giv,6,1996,1980,NA
amc,jg,4,1996,1980,NA
anm,cal,4,2011,2000,NA
anm,hul,4,2011,2000,NA
anpo,giar,2,2001,2000,NA
anv,mo,5,1952,1940,NA
anv,mo,6,1952,1940,NA
bea,ce,1,1987,1980,100
bigy,di,4,2011,2000,NA
boca,coa,4,1962,1960,NA
bp,mo,1,2011,2000,5
bv,mt,5,1966,1960,NA
bv,rz,5,1966,1960,NA
bv,mt,1,1966,1960,50
bv,rz,1,1966,1960,50
bv,mt,6,1966,1960,NA
bv,rz,6,1966,1960,NA
bv,lb,6,1980,1980,NA
bv,gd,6,1998,1980,NA
bv,tm,6,2001,2000,NA
bv,dle,6,2018,2020,NA
bv,mtb,6,2021,2020,NA
bv,ker,1,1999,1980,100
cal,fob,4,2020,2020,NA
car,mo,1,2011,2000,"17,8"
cev,ce,5,1945,1940,NA
cev,ce,6,1945,1940,NA
chdi,di,4,1946,1940,NA
chdi,di,5,1946,1940,NA
coc,ch,5,1910,1900,NA
coc,ch,6,1910,1900,NA
coc,ch,1,1910,1900,100
ct,mo,6,1980,1980,NA
ct,rr,4,1980,1980,NA
cwk,rit,4,2017,2000,NA
cwk,giv,6,2017,2000,NA
dam,gci,4,2006,1980,NA
dd,sg,3,1980,1980,NA
dg,dd,5,1985,1980,NA
dg,dd,1,1985,1980,50
dg,dd,6,1985,1980,NA
dg,sg,5,1985,1980,NA
dg,sg,1,1985,1980,50
dg,sg,6,1985,1980,NA
dle,tm,4,2018,2020,NA
dle,mtb,4,2021,2020,NA
eur,mo,1,2011,2000,45
fav,ce,1,1945,1940,100
faw,ch,1,1974,1980,100
fe,af,1,1925,1920,NA
fe,af,6,1925,1920,NA
fe,af,5,1925,1920,NA
fe,ef,1,1925,1920,NA
fe,ef,6,1925,1920,NA
fe,ef,5,1925,1920,NA
fe,fes,1,1965,1960,100
fe,lvmh,1,1999,1980,"25,5"
fe,fes,1,1999,1980,49
fe,kl,6,1965,1960,NA
fe,svf,6,1992,1990,NA
fe,svf,6,2019,2000,NA
fe,kj,6,2022,2020,NA
fe,pr,1,1999,1980,"25,5"
fe,lvmh,1,2002,2000,100
fe,kl,6,1992,1990,NA
fgi,gci,3,2006,2000,NA
fob,ni,4,2021,2020,NA
gb,ch,6,1971,1980,NA
gb,coc,4,1971,1980,NA
gb,di,3,NA,NA,NA
gcc,gci,4,1986,1980,NA
gcc,gci,5,1921,1920,NA
gd,tm,4,2001,2000,NA
giarp,giar,1,1975,1960,NA
giarp,giar,5,1975,1960,NA
giarp,giar,6,1975,1960,NA
gifr,di,4,1989,1980,NA
hdg,giv,1,1952,1940,100
hdg,giv,6,1952,1940,NA
hdg,giv,5,1952,1940,NA
hdg,cb,2,1953,1940,NA
hdg,sip,3,1947,1940,NA
hdg,jcf,3,NA,NA,NA
hdg,ll,3,1946,1940,NA
hdg,rp,3,NA,NA,NA
hdg,di,3,NA,NA,NA
hdg,blm,3,NA,NA,NA
hsl,ce,6,2017,2000,NA
hsl,pp,4,2017,2000,NA
hul,fob,4,2020,2020,NA
ivo,ce,6,2005,2000,NA
ivo,rmc,4,2005,2000,NA
jc,ch,6,1973,1980,NA
jc,gb,4,1973,1980,NA
jc,ch,3,NA,NA,NA
jg,giv,6,1996,1980,NA
jg,hdg,4,1996,1980,NA
jg,di,2,NA,NA,NA
jg,di,4,1997,1980,NA
jmd,giv,6,2001,2000,NA
jmd,amc,4,2001,2000,NA
ke,kt,5,1970,1960,NA
ke,rkr,6,1999,1980,NA
ke,anm,6,2003,2000,NA
ke,cal,6,2011,2000,NA
ke,hul,6,2011,2000,NA
ke,fob,6,2020,2020,NA
ke,ni,6,2021,2020,NA
ke,lvmh,1,1993,1980,100
ke,tf,6,1999,1980,NA
ke,kt,1,1970,1960,100
ke,kt,6,1970,1960,NA
ke,grs,6,1999,1980,NA
kl,ch,6,1983,1980,NA
kl,re,4,1983,1980,NA
kt,grs,4,1999,1980,NA
kt,rkr,4,1999,1980,NA
kva,di,3,2007,2000,NA
lb,mt,4,1980,1980,NA
lb,rz,4,1980,1980,NA
lu,di,3,2008,2000,NA
lupr,pr,4,1958,1940,NA
lvmh,giv,1,1981,1980,100
lvmh,ce,1,1994,1980,100
lvmh,di,1,1984,1980,59
mapr,pr,4,1913,1900,NA
mapr,pr,5,1913,1900,NA
mbo,di,2,1946,1940,NA
mbo,di,4,1960,1960,NA
mgc,di,4,2016,2000,NA
mgc,di,6,2016,2000,NA
mipr,pr,4,1978,1960,NA
mipr,pr,6,2020,2020,NA
mk,ce,6,1997,1980,NA
mk,phk,4,1997,1980,NA
mmw,giv,6,2020,2020,NA
mmw,cwk,4,2020,2020,NA
mos,mo,1,2008,2000,100
mr,ce,6,2025,2020,NA
mr,hsl,4,2025,2020,NA
neba,giar,2,1999,1990,NA
nice,giar,2,1970,1960,NA
ozb,giv,6,2003,2000,NA
ozb,jmd,4,2003,2000,NA
pep,mo,1,1992,1980,NA
pep,mo,1,2003,2000,25
pep,mo,1,2005,2000,100
pep,di,3,2014,2000,NA
pg,jc,4,1978,1980,NA
pg,yd,4,1978,1980,NA
pg,ch,6,1978,1980,NA
phk,ce,6,1987,1980,NA
phk,cev,4,1987,1980,NA
pp,ce,6,2008,2000,NA
pp,ivo,4,2008,2000,NA
pr,prgr,1,1913,1900,100
re,ch,6,1980,1980,NA
re,pg,4,1980,1980,NA
re,ba,2,NA,NA,NA
reru,ct,4,1992,1980,NA
reru,mo,6,1992,1980,NA
reru,mo,1,2003,2000,51
reru,mo,1,2011,2000,32
rkf,coa,4,1996,1980,NA
rit,giv,6,2005,2000,NA
rit,ozb,4,2005,2000,NA
rkr,anm,4,2003,2000,NA
rmc,mk,4,2004,2000,NA
rmc,ce,6,2004,2000,NA
rr,mo,6,1952,1940,NA
rr,mo,5,1952,1940,NA
rr,mo,1,1952,1940,100
rs,pr,4,2020,2020,NA
rs,pr,6,2020,2020,NA
rs,di,4,2012,2000,NA
rv,ce,5,1945,1940,NA
sb,mo,1,2011,2000,"0,25"
sds,gci,4,2023,2020,NA
sds,gci,6,2023,2020,NA
srf,di,3,2004,2000,NA
srll,di,2,1990,1990,NA
sve,coa,4,2013,2000,
sve,coa,6,2014,2000,NA
svf,kl,4,2019,2000,NA
tf,giar,2,1994,1980,NA
tf,gci,4,1994,1980,NA
vfh,mo,1,2003,2000,24
vv,kl,4,2019,2010,NA
vv,ch,6,2019,2010,NA
vv,ch,2,1987,1980,NA
vv,ch,3,NA,NA,NA
yd,gb,4,1973,1980,NA
yd,ch,6,1973,1980,NA
yd,ch,3,NA,NA,NA
ysl,yslp,5,1960,1960,NA
ysl,pbe,5,1960,1960,NA
ysl,yslp,1,1960,1960,NA
ysl,pbe,1,1960,1960,NA
ysl,yslp,6,1960,1960,NA
ysl,yslp,6,1960,1960,NA
ysl,ae,6,1998,1980,NA
ysl,ke,1,1999,1980,NA
ysl,hsl,6,1998,1980,NA
ysl,sp,6,2004,2000,NA
ysl,hsl,6,2012,2000,NA
ysl,avc,6,2016,2000,NA
yslp,di,4,1952,1940,NA
yslp,di,2,1955,1940,NA